11/08/15 : 00:23:45 |  | WaitResult:  
11/08/15 : 00:24:46 |  | WaitResult:  
11/08/15 : 00:25:47 |  | WaitResult:  
11/08/15 : 00:25:49 |  | WaitResult:  
11/08/15 : 00:25:57 |  | WaitResult:  
11/08/15 : 00:26:09 |  | WaitResult:  
11/08/15 : 00:26:21 |  | WaitResult:  
11/08/15 : 00:27:23 |  | WaitResult:  
11/08/15 : 00:28:23 |  | WaitResult:  
11/08/15 : 00:29:11 |  | WaitResult:  
11/08/15 : 00:29:33 |  | WaitResult:  
11/08/15 : 00:30:34 |  | WaitResult:  
11/08/15 : 00:30:43 |  | WaitResult:  
11/08/15 : 00:32:22 |  | WaitResult:  
11/08/15 : 00:33:23 |  | WaitResult:  
11/08/15 : 00:34:24 |  | WaitResult:  
11/08/15 : 00:35:25 |  | WaitResult:  
11/08/15 : 00:36:43 |  | WaitResult:  
11/08/15 : 00:37:43 |  | WaitResult:  
11/08/15 : 00:38:44 |  | WaitResult:  
11/08/15 : 00:39:45 |  | WaitResult:  
