11/08/15 : 00:13:44 |  | Executing script: CURL_queue.sh 
11/08/15 : 00:14:01 |  | Executing script: CURL_queue.sh 
11/08/15 : 00:17:02 |  | Executing script: CURL_queue.sh 
11/08/15 : 00:17:02 |  | Job Array ().  
11/08/15 : 00:17:02 |  | The process is not running. 
11/08/15 : 00:18:34 |  | Executing script: CURL_queue.sh 
11/08/15 : 00:18:34 |  | Job Array ().  
11/08/15 : 00:18:34 |  | The process is not running. 
11/08/15 : 00:19:31 |  | Executing script: CURL_queue.sh 
11/08/15 : 00:19:31 |  | Job Array ().  
11/08/15 : 00:19:31 |  | The process is not running. 
11/08/15 : 00:19:59 |  | Executing script: CURL_queue.sh 
11/08/15 : 00:19:59 |  | Job Array ().  
11/08/15 : 00:19:59 |  | The process is not running. 
11/08/15 : 00:20:55 |  | Executing script: CURL_queue.sh 
11/08/15 : 00:20:55 |  | Job Array ().  
11/08/15 : 00:20:55 |  | The process is not running. 
11/08/15 : 00:21:55 |  | Executing script: CURL_queue.sh 
11/08/15 : 00:21:55 |  | Job Array ().  
11/08/15 : 00:21:55 |  | The process is not running. 
11/08/15 : 00:22:04 |  | Executing script: CURL_queue.sh 
11/08/15 : 00:22:04 |  | Job Array ().  
11/08/15 : 00:22:04 |  | The process is not running. 
11/08/15 : 00:22:37 |  | Executing script: CURL_queue.sh 
11/08/15 : 00:22:37 |  | Job Array ().  
11/08/15 : 00:22:37 |  | The process is not running. 
11/08/15 : 00:23:00 |  | Executing script: CURL_queue.sh 
11/08/15 : 00:23:00 |  | Job Array ().  
11/08/15 : 00:23:00 |  | The process is not running. 
11/08/15 : 00:23:45 |  | Executing script: CURL_queue.sh 
11/08/15 : 00:23:45 |  | Job Array ().  
11/08/15 : 00:23:45 |  | The process is not running. 
11/08/15 : 00:26:08 |  | Executing script: CURL_queue.sh 
11/08/15 : 00:26:08 |  | Job Array ().  
11/08/15 : 00:26:08 |  | The process is not running. 
11/08/15 : 00:30:47 |  | WaitResult: 0 
11/08/15 : 00:31:21 |  | WaitResult: 0 
11/08/15 : 00:35:41 |  | Executing script: CURL_queue.sh 
11/08/15 : 00:35:41 |  | Job Array ().  
11/08/15 : 00:35:41 |  | The process is not running. 
11/08/15 : 00:35:42 |  | WaitResult: 0 
